학년,출발 시간,학교 도착 시간,학교까지 걸리는 시간,주사용 교통수단,지각 빈도,지각 원인,지각자 수,TEM,WEATHER CONDITION,WIND,HUMIDITY,BAROMETER
7학년,2,4,1,0,1,늦잠,0명,28,partly sunny,6km/h,89%,1011mbar
7학년,1,4,1,0,0,지각을 잘 안함,6명,29,passing clouds,13km/h,79%,1009mbar
7학년,5,6,0,1,1,늦잠,2명,29,passing clouds,7km/h,84%,1009mbar
7학년,1,1,0,4,0,지각을 잘 안함,0명,29,passing clouds,7km/h,84%,1010mbar
7학년,1,4,1,0,1,택시 호출 지연( 날씨 영향 없는),1명,28,passing clouds,9km/h,84%,1010mbar
7학년,1,4,1,0,1,택시 호출 지연( 날씨 영향 없는),4명,27,rain showers&broken clouds,6km/h,89%,1012mbar
7학년,5,6,0,1,1,늦잠,0명,27,scatteres clouds,6km/h,89%,1010mbar
7학년,2,5,2,0,0,지각을 잘 안함,0명,28,passing clouds,2km/h,84%,1010mbar
7학년,2,3,1,0,0,지각을 잘 안함,0명,27,sunny,2km/h,84%,1009mbar
7학년,4,6,1,4,0,지각을 잘 안함,0명,27,fog,11km/h,89%,1009mbar
7학년,4,5,0,4,0,지각을 잘 안함,0명,28,sunny,11km/h,89%,1009mbar
7학년,3,7,1,2,1,"교통 문제( 차 막힘, 사고)",0명,27,sunny,13km/h,84%,1010mbar
8학년,0,4,2,0,0,늦잠,0명,27,scatteres clouds,13km/h,84%,1009mbar
8학년,4,7,1,2,0,"교통 문제( 차 막힘, 사고)",2명,27,scatteres clouds,7km/h,89%,1008mbar
8학년,2,4,1,0,1,늦잠,4명,27,partly sunny,17km/h,89%,1006mbar
8학년,3,5,1,0,0,지각을 잘 안함,7명,28,scatteres clouds,19km/h,89%,1006mbar
8학년,2,3,1,0,0,지각을 잘 안함,3명,28,broken clouds,17km/h,89%,1008mbar
8학년,2,4,1,0,0,"교통 문제( 차 막힘, 사고)",4명,28,passing clouds,7km/h,89%,1007mbar
8학년,4,5,0,4,0,늦잠,1명,28,broken clouds,9km/h,94%,1009mbar
